QID,Title,Sub Category,Category,CVE ID,Vendor Reference,CVSS Base,CVSS3.1 Base,Bugtraq ID,Modified,Published,Remediation type,concat
20093,Oracle MySQL October 2018 Critical Patch Update (CPUOCT2018),"Remote Discovery, Unix Authenticated Discovery, Patch Available",Database,"CVE-2018-3133,CVE-2018-3174,CVE-2018-3282,CVE-2016-9843,CVE-2018-3143,CVE-2018-3156,CVE-2018-3247,CVE-2018-3251,CVE-2018-3276,CVE-2018-3278,CVE-2018-3144,CVE-2018-3155,CVE-2018-3161,CVE-2018-3162,CVE-2018-3171,CVE-2018-3173,CVE-2018-3185,CVE-2018-3187,CVE-2018-3200,CVE-2018-3277,CVE-2018-3283,CVE-2018-3284,CVE-2018-3137,CVE-2018-3145,CVE-2018-3170,CVE-2018-3182,CVE-2018-3186,CVE-2018-3195,CVE-2018-3203,CVE-2018-3212,CVE-2018-3279,CVE-2018-3280,CVE-2018-3285,CVE-2018-3286",MySQL CPUOCT2018,"7,5","9,8",,04/03/2023 at 02:33:07 PM (GMT+0200),10/17/2018 at 03:34:31 AM (GMT+0200),Security Patch Installation,"""20093"": ""Security Patch Installation"","
20103,Oracle MySQL January 2019 Critical Patch Update (CPUJAN2019),"Remote Discovery, Unix Authenticated Discovery, Patch Available",Database,"CVE-2019-2455,CVE-2019-2481,CVE-2019-2482,CVE-2019-2503,CVE-2019-2507,CVE-2019-2529,CVE-2019-2531,CVE-2019-2534,CVE-2019-2537,CVE-2018-0734,CVE-2019-2434,CVE-2019-2486,CVE-2019-2510,CVE-2019-2420,CVE-2019-2528,CVE-2019-2532,CVE-2019-2436,CVE-2019-2494,CVE-2019-2495,CVE-2019-2502,CVE-2019-2513,CVE-2019-2530,CVE-2019-2533,CVE-2019-2535,CVE-2019-2536,CVE-2019-2539",MySQL CPUJAN2019,"5,5","7,1",,04/03/2023 at 02:33:07 PM (GMT+0200),01/16/2019 at 03:09:50 AM (GMT+0100),Security Patch Installation,"""20103"": ""Security Patch Installation"","
20117,Oracle MySQL July 2019 Critical Patch Update (CPUJUL2019),"Remote Discovery, Unix Authenticated Discovery, Patch Available",Database,"CVE-2019-2731,CVE-2019-2743,CVE-2019-2746,CVE-2019-2747,CVE-2019-2755,CVE-2019-2798,CVE-2019-2737,CVE-2019-2738,CVE-2019-2739,CVE-2019-2740,CVE-2019-2805,CVE-2019-2819,CVE-2019-2730,CVE-2019-3822,CVE-2019-2741,CVE-2019-2757,CVE-2019-2758,CVE-2019-2774,CVE-2019-2778,CVE-2019-2791,CVE-2019-2797,CVE-2019-2752,CVE-2019-2780,CVE-2019-2784,CVE-2019-2785,CVE-2019-2789,CVE-2019-2795,CVE-2019-2796,CVE-2019-2800,CVE-2019-2801,CVE-2019-2802,CVE-2019-2803,CVE-2019-2808,CVE-2019-2810,CVE-2019-2811,CVE-2019-2812,CVE-2019-2814,CVE-2019-2815,CVE-2019-2822,CVE-2019-2826,CVE-2019-2830,CVE-2019-2834,CVE-2019-2879",MySQL CPUJUL2019,"7,5","9,8",,04/03/2023 at 02:33:07 PM (GMT+0200),07/17/2019 at 03:08:37 AM (GMT+0200),Security Patch Installation,"""20117"": ""Security Patch Installation"","
20126,Oracle MySQL October 2019 Critical Patch Update (CPUOCT2019),"Remote Discovery, Unix Authenticated Discovery, Patch Available",Database,"CVE-2019-2969,CVE-2019-2948,CVE-2019-2950,CVE-2019-3003,CVE-2019-2911,CVE-2019-2974,CVE-2019-2910,CVE-2019-2922,CVE-2019-2923,CVE-2019-2924,CVE-2019-2914,CVE-2019-2938,CVE-2019-2946,CVE-2019-2960,CVE-2019-2993,CVE-2019-5443,CVE-2019-2957,CVE-2019-2963,CVE-2019-2966,CVE-2019-2967,CVE-2019-2968,CVE-2019-2982,CVE-2019-2991,CVE-2019-2997,CVE-2019-2998,CVE-2019-3004,CVE-2019-3009,CVE-2019-3011,CVE-2019-3018",MySQL CPUOCT2019,"5,5","7,8",,04/03/2023 at 02:33:07 PM (GMT+0200),10/16/2019 at 03:49:32 AM (GMT+0200),Security Patch Installation,"""20126"": ""Security Patch Installation"","
20135,Oracle MySQL January 2020 Critical Patch Update (CPUJAN2020),"Remote Discovery, Unix Authenticated Discovery, Patch Available",Database,"CVE-2020-2579,CVE-2020-2686,CVE-2020-2627,CVE-2020-2577,CVE-2020-2589,CVE-2020-2580,CVE-2020-2588,CVE-2020-2660,CVE-2020-2679,CVE-2020-2584,CVE-2020-2694,CVE-2020-2572",MySQL CPUJAN2020,4,"6,5",,04/03/2023 at 02:33:07 PM (GMT+0200),01/16/2020 at 01:47:59 AM (GMT+0100),Security Patch Installation,"""20135"": ""Security Patch Installation"","
20169,Oracle Database 18c Critical Patch Update - January 2020,"Oracle Authenticated Discovery, Patch Available, Exploit Available, Malware Associated",Database,"CVE-2018-11784,CVE-2019-0199,CVE-2019-0221,CVE-2019-0232,CVE-2019-10072,CVE-2019-13117,CVE-2019-13118,CVE-2019-16168,CVE-2020-2510,CVE-2020-2511,CVE-2020-2512,CVE-2020-2515,CVE-2020-2516,CVE-2020-2517,CVE-2020-2518,CVE-2020-2527,CVE-2020-2568,CVE-2020-2569,CVE-2020-2583,CVE-2020-2585,CVE-2020-2590,CVE-2020-2593,CVE-2020-2601,CVE-2020-2604,CVE-2020-2654,CVE-2020-2659,CVE-2020-2731",CPUJAN2020,"9,3","8,1",,03/04/2023 at 01:00:32 PM (GMT+0100),07/01/2020 at 02:02:52 PM (GMT+0200),Security Patch Installation,"""20169"": ""Security Patch Installation"","
20174,Oracle MySQL July 2020 Critical Patch Update (CPUJUL2020),"Remote Discovery, Unix Authenticated Discovery, Patch Available",Database,"CVE-2020-14567,CVE-2020-1967,CVE-2020-14539,CVE-2020-14550,CVE-2020-14559,CVE-2020-14553,CVE-2020-14540,CVE-2020-14547,CVE-2020-14576,CVE-2020-14568,CVE-2020-14575,CVE-2020-14586,CVE-2020-14591,CVE-2020-14597,CVE-2020-14614,CVE-2020-14619,CVE-2020-14620,CVE-2020-14623,CVE-2020-14624,CVE-2020-14631,CVE-2020-14632,CVE-2020-14633,CVE-2020-14634,CVE-2020-14641,CVE-2020-14643,CVE-2020-14651,CVE-2020-14654,CVE-2020-14656,CVE-2020-14663,CVE-2020-14678,CVE-2020-14680,CVE-2020-14697,CVE-2020-14702,CVE-2020-14725",MySQL CPUJUL2020,"6,5","7,5",,04/03/2023 at 02:33:07 PM (GMT+0200),07/15/2020 at 03:38:56 PM (GMT+0200),Security Patch Installation,"""20174"": ""Security Patch Installation"","
20187,Oracle Database 19c Critical Patch Update - January 2020,"Oracle Authenticated Discovery, Patch Available, Exploit Available, Malware Associated",Database,"CVE-2020-2510,CVE-2020-2511,CVE-2020-2512,CVE-2020-2515,CVE-2020-2516,CVE-2020-2517,CVE-2020-2527,CVE-2020-2731,CVE-2020-2568,CVE-2020-2569,CVE-2019-10072,CVE-2018-11784,CVE-2019-0199,CVE-2019-0221,CVE-2019-0232",cpujan2020,"9,3","8,1",,03/04/2023 at 01:00:48 PM (GMT+0100),10/20/2020 at 02:22:50 PM (GMT+0200),Security Patch Installation,"""20187"": ""Security Patch Installation"","
20188,Oracle MySQL October 2020 Critical Patch Update (CPUOCT2020),"Remote Discovery, Unix Authenticated Discovery, Patch Available",Database,"CVE-2020-14799,CVE-2020-14672,CVE-2020-14765,CVE-2020-14769,CVE-2020-14793,CVE-2020-14812,CVE-2020-14867,CVE-2020-14771,CVE-2020-14775,CVE-2020-14776,CVE-2020-14789,CVE-2020-14790,CVE-2020-14827,CVE-2020-14869,CVE-2020-14760,CVE-2020-14773,CVE-2020-14777,CVE-2020-14785,CVE-2020-14786,CVE-2020-14791,CVE-2020-14794,CVE-2020-14800,CVE-2020-14804,CVE-2020-14809,CVE-2020-14814,CVE-2020-14821,CVE-2020-14828,CVE-2020-14829,CVE-2020-14830,CVE-2020-14836,CVE-2020-14837,CVE-2020-14838,CVE-2020-14839,CVE-2020-14844,CVE-2020-14845,CVE-2020-14846,CVE-2020-14848,CVE-2020-14852,CVE-2020-14860,CVE-2020-14861,CVE-2020-14866,CVE-2020-14868,CVE-2020-14870,CVE-2020-14873,CVE-2020-14878,CVE-2020-14888,CVE-2020-14891,CVE-2020-14893",MySQL CPUOCT2020,"7,7",8,,04/03/2023 at 02:33:07 PM (GMT+0200),10/22/2020 at 12:52:00 AM (GMT+0200),Security Patch Installation,"""20188"": ""Security Patch Installation"","
20203,Oracle MySQL January 2021 Critical Patch Update (CPUJAN2021),"Remote Discovery, Unix Authenticated Discovery, Patch Available",Database,"CVE-2021-2007,CVE-2021-2006,CVE-2021-2009,CVE-2021-2016,CVE-2021-2019,CVE-2021-1998,CVE-2021-2012,CVE-2021-2020,CVE-2021-2028,CVE-2021-2030,CVE-2021-2042,CVE-2021-2055,CVE-2021-2001,CVE-2021-2010,CVE-2021-2022,CVE-2021-2060,CVE-2021-2011,CVE-2021-2032,CVE-2021-2014,CVE-2021-2002,CVE-2021-2021,CVE-2021-2024,CVE-2021-2031,CVE-2021-2036,CVE-2021-2038,CVE-2021-2046,CVE-2021-2048,CVE-2021-2056,CVE-2021-2058,CVE-2021-2061,CVE-2021-2065,CVE-2021-2070,CVE-2021-2072,CVE-2021-2076,CVE-2021-2081,CVE-2021-2087,CVE-2021-2088,CVE-2021-2122",MySQL CPUJAN2021,7,"6,8",,04/03/2023 at 02:33:07 PM (GMT+0200),01/20/2021 at 07:05:01 AM (GMT+0100),Security Patch Installation,"""20203"": ""Security Patch Installation"","
20221,Oracle MySQL April 2021 Critical Patch Update (CPUAPR2021),"Remote Discovery, Unix Authenticated Discovery, Patch Available",Database,"CVE-2020-1971,CVE-2021-3449,CVE-2020-28196,CVE-2021-23841,CVE-2021-2144,CVE-2021-2172,CVE-2021-2298,CVE-2021-2178,CVE-2021-2202,CVE-2021-2307,CVE-2021-2304,CVE-2021-2180,CVE-2021-2194,CVE-2021-2154,CVE-2021-2166,CVE-2021-2196,CVE-2021-2300,CVE-2021-2305,CVE-2021-2179,CVE-2021-2226,CVE-2021-2160,CVE-2021-2164,CVE-2021-2169,CVE-2021-2170,CVE-2021-2193,CVE-2021-2203,CVE-2021-2212,CVE-2021-2213,CVE-2021-2278,CVE-2021-2299,CVE-2021-2230,CVE-2021-2146,CVE-2021-2201,CVE-2021-2208,CVE-2021-2215,CVE-2021-2217,CVE-2021-2293,CVE-2021-2174,CVE-2021-2171,CVE-2021-2162,CVE-2021-2301,CVE-2021-2308,CVE-2021-2232",MySQL CPUAPR2021,"6,5","7,5",,04/03/2023 at 02:33:07 PM (GMT+0200),04/21/2021 at 05:09:19 PM (GMT+0200),Security Patch Installation,"""20221"": ""Security Patch Installation"","
20225,Oracle MySQL July 2021 Critical Patch Update (CPU July 2021),"Remote Discovery, Unix Authenticated Discovery, Patch Available",Database,"CVE-2021-2412,CVE-2021-2444,CVE-2019-17543,CVE-2021-2342,CVE-2021-2356,CVE-2021-2372,CVE-2021-2385,CVE-2021-2389,CVE-2021-2390,CVE-2021-22901,CVE-2021-2339,CVE-2021-2340,CVE-2021-2352,CVE-2021-2354,CVE-2021-2357,CVE-2021-2367,CVE-2021-2370,CVE-2021-2374,CVE-2021-2383,CVE-2021-2384,CVE-2021-2387,CVE-2021-2399,CVE-2021-2402,CVE-2021-2410,CVE-2021-2417,CVE-2021-2418,CVE-2021-2422,CVE-2021-2424,CVE-2021-2425,CVE-2021-2426,CVE-2021-2427,CVE-2021-2429,CVE-2021-2437,CVE-2021-2440,CVE-2021-2441",MySQL CPUJUL2021,8,"8,1",,04/03/2023 at 02:33:07 PM (GMT+0200),07/21/2021 at 05:55:25 AM (GMT+0200),Security Patch Installation,"""20225"": ""Security Patch Installation"","
20236,Oracle MySQL October 2021 Critical Patch Update (CPUOCT2021),"Remote Discovery, Unix Authenticated Discovery, Patch Available",Database,"CVE-2021-35537,CVE-2021-35583,CVE-2021-35629,CVE-2021-3711,CVE-2021-22926,CVE-2021-35604,CVE-2021-35624,CVE-2021-2478,CVE-2021-2479,CVE-2021-2481,CVE-2021-35546,CVE-2021-35575,CVE-2021-35577,CVE-2021-35591,CVE-2021-35596,CVE-2021-35597,CVE-2021-35602,CVE-2021-35607,CVE-2021-35608,CVE-2021-35610,CVE-2021-35612,CVE-2021-35622,CVE-2021-35623,CVE-2021-35625,CVE-2021-35626,CVE-2021-35627,CVE-2021-35628,CVE-2021-35630,CVE-2021-35631,CVE-2021-35632,CVE-2021-35633,CVE-2021-35634,CVE-2021-35635,CVE-2021-35636,CVE-2021-35637,CVE-2021-35638,CVE-2021-35639,CVE-2021-35640,CVE-2021-35641,CVE-2021-35642,CVE-2021-35643,CVE-2021-35644,CVE-2021-35645,CVE-2021-35646,CVE-2021-35647,CVE-2021-35648,CVE-2021-36222",MySQL CPUOCT2021,"7,5","9,8",,04/03/2023 at 02:33:07 PM (GMT+0200),10/20/2021 at 05:45:17 AM (GMT+0200),Security Patch Installation,"""20236"": ""Security Patch Installation"","
20239,Oracle MySQL January 2022 Critical Patch Update (CPUJAN2022),"Remote Discovery, Unix Authenticated Discovery, Patch Available",Database,"CVE-2022-21249,CVE-2022-21253,CVE-2022-21254,CVE-2022-21256,CVE-2022-21264,CVE-2022-21265,CVE-2022-21301,CVE-2022-21302,CVE-2022-21339,CVE-2022-21342,CVE-2022-21348,CVE-2022-21351,CVE-2022-21358,CVE-2022-21362,CVE-2022-21368,CVE-2022-21370,CVE-2022-21372,CVE-2022-21374,CVE-2022-21378,CVE-2022-21379,CVE-2022-21245,CVE-2022-21270,CVE-2022-21303,CVE-2022-21304,CVE-2022-21344,CVE-2022-21367,CVE-2021-22946,CVE-2022-21278,CVE-2022-21297,CVE-2022-21352",MySQL CPUJAN2022,"6,5","7,5",,04/03/2023 at 02:33:07 PM (GMT+0200),01/19/2022 at 05:27:31 AM (GMT+0100),Security Patch Installation,"""20239"": ""Security Patch Installation"","
20245,IBM DB2 Security Update for Log4j,"DB2 Authenticated Discovery, Patch Available, Exploit Available, Malware Associated",Database,CVE-2021-44228,security-bulletin-vulnerability-in-apache-log4j,"9,3",10,,01/12/2023 at 03:25:19 AM (GMT+0100),02/14/2022 at 01:30:56 PM (GMT+0100),Security Patch Installation,"""20245"": ""Security Patch Installation"","
20247,IBM DB2 Denial of Service (DoS) Vulnerability (6466371),"Multiple Authentication Types Discovery, Patch Available",Database,CVE-2021-29703,6466371,5,"7,5",,03/07/2023 at 02:30:51 PM (GMT+0100),04/06/2022 at 03:29:53 PM (GMT+0200),Security Patch Installation,"""20247"": ""Security Patch Installation"","
20249,IBM DB2 Information Disclosure Vulnerability (6523806),"Multiple Authentication Types Discovery, Patch Available",Database,CVE-2021-29678,6523806,"5,5","8,7",,03/07/2023 at 02:30:51 PM (GMT+0100),04/05/2022 at 04:22:26 PM (GMT+0200),Security Patch Installation,"""20249"": ""Security Patch Installation"","
20256,Oracle MySQL April 2022 Critical Patch Update (CPUAPR2022),"Remote Discovery, Unix Authenticated Discovery, Patch Available",Database,"CVE-2022-0778,CVE-2022-21417,CVE-2022-21427,CVE-2022-21444,CVE-2022-21451,CVE-2022-21454,CVE-2022-21460,CVE-2021-22570,CVE-2022-21412,CVE-2022-21413,CVE-2022-21414,CVE-2022-21415,CVE-2022-21418,CVE-2022-21423,CVE-2022-21425,CVE-2022-21435,CVE-2022-21436,CVE-2022-21437,CVE-2022-21438,CVE-2022-21440,CVE-2022-21452,CVE-2022-21457,CVE-2022-21459,CVE-2022-21462,CVE-2022-21478,CVE-2022-21479",MySQL CPUAPR2022,"5,5","7,5",,04/03/2023 at 02:33:07 PM (GMT+0200),04/20/2022 at 05:33:52 AM (GMT+0200),Security Patch Installation,"""20256"": ""Security Patch Installation"","
20258,IBM DB2 Arbitrary Code Execution Vulnerability (6573293),"Multiple Authentication Types Discovery, Patch Available",Database,"CVE-2022-23852,CVE-2022-23990",6573293,"7,5","9,8",,03/07/2023 at 02:30:51 PM (GMT+0100),05/19/2022 at 04:28:22 PM (GMT+0200),Security Patch Installation,"""20258"": ""Security Patch Installation"","
20259,IBM DB2 Multiple Vulnerabilities (6597637),"Multiple Authentication Types Discovery, Patch Available",Database,"CVE-2022-25313,CVE-2022-25236,CVE-2022-25314,CVE-2022-25315,CVE-2022-25235",6597637,"7,5","9,8",,03/07/2023 at 02:30:51 PM (GMT+0100),07/07/2022 at 03:07:03 PM (GMT+0200),Security Patch Installation,"""20259"": ""Security Patch Installation"","
20266,Oracle MySQL July 2022 Critical Patch Update (CPUJUL2022),"Remote Discovery, Unix Authenticated Discovery, Patch Available",Database,"CVE-2022-21455,CVE-2022-21556,CVE-2022-1292,CVE-2022-21515,CVE-2018-25032,CVE-2022-27778,CVE-2022-21509,CVE-2022-21517,CVE-2022-21522,CVE-2022-21525,CVE-2022-21526,CVE-2022-21527,CVE-2022-21528,CVE-2022-21529,CVE-2022-21530,CVE-2022-21531,CVE-2022-21534,CVE-2022-21537,CVE-2022-21538,CVE-2022-21539,CVE-2022-21547,CVE-2022-21553,CVE-2022-21569",MySQL CPUJUL2022,10,"9,8",,04/03/2023 at 02:33:07 PM (GMT+0200),07/20/2022 at 05:30:15 AM (GMT+0200),Security Patch Installation,"""20266"": ""Security Patch Installation"","
20269,IBM DB2 Multiple Vulnerabilities (6466365),"Multiple Authentication Types Discovery, Patch Available",Database,"CVE-2014-3577,CVE-2020-27216,CVE-2015-5237,CVE-2018-11765,CVE-2020-11612,CVE-2017-18640,CVE-2020-7238,CVE-2020-9488,CVE-2018-8088,CVE-2020-9489,CVE-2020-5262",6466365,"7,5","9,8",,02/21/2023 at 06:38:44 AM (GMT+0100),01/03/2023 at 02:08:16 PM (GMT+0100),Security Patch Installation,"""20269"": ""Security Patch Installation"","
